premises_en	hypothesis_en	gold	content-type	conversion	figure	image_id	mood	premise1_logic	premise2_logic	premise1_ascii	premise2_ascii
Some tuna are shark. All shark are fish.	Some fish are tuna.	entailment	incongruent	no	4	euler_22_IA4	IAI	tuna ∩ shark ≠ ∅	shark ⊆ fish	"tuna:                     -----x----
shark:                       --x---------"	"shark:                             ------
fish:                       ---------------"
All foods are fruits. Some stones are foods.	Some stones are fruits.	entailment	incongruent	no	1	euler_2_AI1	AII	foods ⊆ fruits	stones ∩ foods ≠ ∅	"foods:                             ------
fruits:                     ---------------"	"stones:                   -----x----
foods:                       --x---------"
Some crocodiles are birds. All crocodiles are crows.	Some crows are birds.	entailment	incongruent	no	3	euler_6_IA3	IAI	crocodiles ∩ birds ≠ ∅	crocodiles ⊆ crows	"crocodiles:               -----x----
birds:                       --x---------"	"crocodiles:                        ------
crows:                      ---------------"
No water are metals. All iron are water.	No iron are metals.	entailment	incongruent	no	1	euler_19_EA1	EAE	water ∩ metals = ∅	iron ⊆ water	"water:                  -------
metals:                               --------"	"iron:                              ------
water:                      ---------------"
No horses are students. All humans are horses.	No humans are students.	entailment	incongruent	no	1	euler_8_EA1	EAE	horses ∩ students = ∅	humans ⊆ horses	"horses:                 -------
students:                             --------"	"humans:                            ------
horses:                     ---------------"
No human beings are wicked people. Some thieves are human beings.	Some thieves are not wicked people.	entailment	incongruent	no	1	euler_21_EI1	EIO	human beings ∩ wicked people = ∅	thieves ∩ human beings ≠ ∅	"human beings:           -------
wicked people:                        --------"	"thieves:                  -----x----
human beings:                --x---------"
No metals are sand. All air are sand.	No air are metals.	entailment	incongruent	no	2	euler_5_EA2	EAE	metals ∩ sand = ∅	air ⊆ sand	"metals:                 -------
sand:                                 --------"	"air:                               ------
sand:                       ---------------"
All birds are crocodiles. No crocodiles are crows.	No crows are birds.	entailment	incongruent	no	4	euler_6_AE4	AEE	birds ⊆ crocodiles	crocodiles ∩ crows = ∅	"birds:                             ------
crocodiles:                 ---------------"	"crocodiles:             -------
crows:                                --------"
Some birds are sparrows. All birds are stones.	Some stones are sparrows.	entailment	incongruent	no	3	euler_7_IA3	IAI	birds ∩ sparrows ≠ ∅	birds ⊆ stones	"birds:                    -----x----
sparrows:                    --x---------"	"birds:                             ------
stones:                     ---------------"
All plants are trees. Some living things are plants.	Some living things are trees.	entailment	incongruent	no	1	euler_13_AI1	AII	plants ⊆ trees	living things ∩ plants ≠ ∅	"plants:                            ------
trees:                      ---------------"	"living things:            -----x----
plants:                      --x---------"
No pigeons are birds. Some cats are birds.	Some cats are not pigeons.	entailment	incongruent	no	2	euler_9_EI2	EIO	pigeons ∩ birds = ∅	cats ∩ birds ≠ ∅	"pigeons:                -------
birds:                                --------"	"cats:                     -----x----
birds:                       --x---------"
All trumpets are instruments. Some string instruments are not instruments.	Some string instruments are not trumpets.	entailment	incongruent	no	2	euler_14_AO2	AOO	trumpets ⊆ instruments	string instruments \ instruments ≠ ∅	"trumpets:                          ------
instruments:                ---------------"	"string instruments:       --x-------
instruments:                       -----------"
No students are ghosts. All human beings are ghosts.	No human beings are students.	entailment	incongruent	no	2	euler_12_EA2	EAE	students ∩ ghosts = ∅	human beings ⊆ ghosts	"students:               -------
ghosts:                               --------"	"human beings:                      ------
ghosts:                     ---------------"
All crocodiles are birds. Some crocodiles are crows.	Some crows are not birds.	neutral	incongruent	no	3	euler_6_AI3	AIO	crocodiles ⊆ birds	crocodiles ∩ crows ≠ ∅	"crocodiles:                        ------
birds:                      ---------------"	"crocodiles:               -----x----
crows:                       --x---------"
All comodities are robots. All comodities are machines.	Some machines are not robots.	neutral	incongruent	no	3	euler_4_AA3	AAO	comodities ⊆ robots	comodities ⊆ machines	"comodities:                        ------
robots:                     ---------------"	"comodities:                        ------
machines:                   ---------------"
Some dogs are not animals. All animals are robots.	Some robots are not dogs.	neutral	incongruent	yes	4	euler_3_OA4	OAO	dogs \ animals ≠ ∅	animals ⊆ robots	"dogs:                     --x-------
animals:                           -----------"	"animals:                           ------
robots:                     ---------------"
All trees are plants. Some plants are not living things.	Some living things are trees.	neutral	incongruent	no	4	euler_13_AO4	AOI	trees ⊆ plants	plants \ living things ≠ ∅	"trees:                             ------
plants:                     ---------------"	"plants:                   --x-------
living things:                     -----------"
No human beings are mammals. All horses are mammals.	All horses are human beings.	neutral	incongruent	no	2	euler_15_EA2	EAA	human beings ∩ mammals = ∅	horses ⊆ mammals	"human beings:           -------
mammals:                              --------"	"horses:                            ------
mammals:                    ---------------"
All vegetables are tomatoes. Some tomatoes are not plants.	No plants are vegetables.	neutral	incongruent	no	4	euler_20_AO4	AOE	vegetables ⊆ tomatoes	tomatoes \ plants ≠ ∅	"vegetables:                        ------
tomatoes:                   ---------------"	"tomatoes:                 --x-------
plants:                            -----------"
All tomatoes are plants. All plants are animals.	No animals are tomatoes.	neutral	incongruent	no	4	euler_11_AA4	AAE	tomatoes ⊆ plants	plants ⊆ animals	"tomatoes:                          ------
plants:                     ---------------"	"plants:                            ------
animals:                    ---------------"
Some tomatoes are plants. All animals are plants.	No animals are tomatoes.	neutral	incongruent	no	2	euler_11_IA2	IAE	tomatoes ∩ plants ≠ ∅	animals ⊆ plants	"tomatoes:                 -----x----
plants:                      --x---------"	"animals:                           ------
plants:                     ---------------"
Some students are not horses. All humans are horses.	Some humans are students.	neutral	incongruent	no	2	euler_8_OA2	OAI	students \ horses ≠ ∅	humans ⊆ horses	"students:                 --x-------
horses:                            -----------"	"humans:                            ------
horses:                     ---------------"
Some trees are plants. All living things are plants.	Some living things are trees.	neutral	incongruent	yes	2	euler_13_IA2	IAI	trees ∩ plants ≠ ∅	living things ⊆ plants	"trees:                    -----x----
plants:                      --x---------"	"living things:                     ------
plants:                     ---------------"
All vegetables are tomatoes. No plants are tomatoes.	Some plants are not vegetables.	neutral	incongruent	no	2	euler_20_AE2	AEO	vegetables ⊆ tomatoes	plants ∩ tomatoes = ∅	"vegetables:                        ------
tomatoes:                   ---------------"	"plants:                 -------
tomatoes:                             --------"
All tomatoes are plants. Some plants are animals.	Some animals are not tomatoes.	neutral	incongruent	no	4	euler_11_AI4	AIO	tomatoes ⊆ plants	plants ∩ animals ≠ ∅	"tomatoes:                          ------
plants:                     ---------------"	"plants:                   -----x----
animals:                     --x---------"
Some tuna are shark. All fish are shark.	Some fish are not tuna.	neutral	incongruent	no	2	euler_22_IA2	IAO	tuna ∩ shark ≠ ∅	fish ⊆ shark	"tuna:                     -----x----
shark:                       --x---------"	"fish:                              ------
shark:                      ---------------"
No baseball players are athletes. All athletes are human beings.	No human beings are baseball players.	neutral	incongruent	yes	4	euler_10_EA4	EAE	baseball players ∩ athletes = ∅	athletes ⊆ human beings	"baseball players:       -------
athletes:                             --------"	"athletes:                          ------
human beings:               ---------------"
No pigeons are birds. Some cats are birds.	No cats are pigeons.	neutral	incongruent	no	2	euler_9_EI2	EIE	pigeons ∩ birds = ∅	cats ∩ birds ≠ ∅	"pigeons:                -------
birds:                                --------"	"cats:                     -----x----
birds:                       --x---------"
No tomatoes are plants. Some plants are animals.	Some animals are tomatoes.	neutral	incongruent	no	4	euler_11_EI4	EII	tomatoes ∩ plants = ∅	plants ∩ animals ≠ ∅	"tomatoes:               -------
plants:                               --------"	"plants:                   -----x----
animals:                     --x---------"
No human beings are mammals. All horses are mammals.	Some horses are not human beings.	neutral	incongruent	no	2	euler_15_EA2	EAO	human beings ∩ mammals = ∅	horses ⊆ mammals	"human beings:           -------
mammals:                              --------"	"horses:                            ------
mammals:                    ---------------"
Some females are males. All students are males.	Some students are females.	neutral	incongruent	yes	2	euler_16_IA2	IAI	females ∩ males ≠ ∅	students ⊆ males	"females:                  -----x----
males:                       --x---------"	"students:                          ------
males:                      ---------------"
Some trees are not plants. All plants are living things.	No living things are trees.	neutral	incongruent	no	4	euler_13_OA4	OAE	trees \ plants ≠ ∅	plants ⊆ living things	"trees:                    --x-------
plants:                            -----------"	"plants:                            ------
living things:              ---------------"
All ghosts are students. No ghosts are human beings.	Some human beings are not students.	neutral	incongruent	no	3	euler_12_AE3	AEO	ghosts ⊆ students	ghosts ∩ human beings = ∅	"ghosts:                            ------
students:                   ---------------"	"ghosts:                 -------
human beings:                         --------"
All students are horses. No humans are horses.	Some humans are not students.	neutral	incongruent	no	2	euler_8_AE2	AEO	students ⊆ horses	humans ∩ horses = ∅	"students:                          ------
horses:                     ---------------"	"humans:                 -------
horses:                               --------"
All water are metals. No water are iron.	All iron are metals.	neutral	incongruent	no	3	euler_19_AE3	AEA	water ⊆ metals	water ∩ iron = ∅	"water:                             ------
metals:                     ---------------"	"water:                  -------
iron:                                 --------"
All students are horses. Some horses are not humans.	Some humans are not students.	neutral	incongruent	yes	4	euler_8_AO4	AOO	students ⊆ horses	horses \ humans ≠ ∅	"students:                          ------
horses:                     ---------------"	"horses:                   --x-------
humans:                            -----------"
All trees are plants. Some plants are not living things.	All living things are trees.	neutral	incongruent	no	4	euler_13_AO4	AOA	trees ⊆ plants	plants \ living things ≠ ∅	"trees:                             ------
plants:                     ---------------"	"plants:                   --x-------
living things:                     -----------"
No beer are liquor. All drink are liquor.	Some drink are not beer.	neutral	incongruent	no	2	euler_17_EA2	EAO	beer ∩ liquor = ∅	drink ⊆ liquor	"beer:                   -------
liquor:                               --------"	"drink:                             ------
liquor:                     ---------------"
All fruits are foods. Some stones are foods.	Some stones are not fruits.	neutral	incongruent	no	2	euler_2_AI2	AIO	fruits ⊆ foods	stones ∩ foods ≠ ∅	"fruits:                            ------
foods:                      ---------------"	"stones:                   -----x----
foods:                       --x---------"
All plants are tomatoes. Some animals are plants.	Some animals are not tomatoes.	neutral	incongruent	no	1	euler_11_AI1	AIO	plants ⊆ tomatoes	animals ∩ plants ≠ ∅	"plants:                            ------
tomatoes:                   ---------------"	"animals:                  -----x----
plants:                      --x---------"
Some students are not horses. All humans are horses.	No humans are students.	neutral	incongruent	no	2	euler_8_OA2	OAE	students \ horses ≠ ∅	humans ⊆ horses	"students:                 --x-------
horses:                            -----------"	"humans:                            ------
horses:                     ---------------"
No birds are sparrows. All birds are stones.	Some stones are not sparrows.	neutral	incongruent	no	3	euler_7_EA3	EAO	birds ∩ sparrows = ∅	birds ⊆ stones	"birds:                  -------
sparrows:                             --------"	"birds:                             ------
stones:                     ---------------"
All animals are dogs. All robots are animals.	Some robots are dogs.	neutral	incongruent	no	1	euler_3_AA1	AAI	animals ⊆ dogs	robots ⊆ animals	"animals:                           ------
dogs:                       ---------------"	"robots:                            ------
animals:                    ---------------"
No students are ghosts. All human beings are ghosts.	Some human beings are not students.	neutral	incongruent	no	2	euler_12_EA2	EAO	students ∩ ghosts = ∅	human beings ⊆ ghosts	"students:               -------
ghosts:                               --------"	"human beings:                      ------
ghosts:                     ---------------"
No metals are water. Some iron are water.	No iron are metals.	neutral	incongruent	no	2	euler_19_EI2	EIE	metals ∩ water = ∅	iron ∩ water ≠ ∅	"metals:                 -------
water:                                --------"	"iron:                     -----x----
water:                       --x---------"
All comodities are robots. All comodities are machines.	Some machines are robots.	neutral	incongruent	no	3	euler_4_AA3	AAI	comodities ⊆ robots	comodities ⊆ machines	"comodities:                        ------
robots:                     ---------------"	"comodities:                        ------
machines:                   ---------------"
All tomatoes are vegetables. Some tomatoes are not plants.	All plants are vegetables.	neutral	incongruent	no	3	euler_20_AO3	AOA	tomatoes ⊆ vegetables	tomatoes \ plants ≠ ∅	"tomatoes:                          ------
vegetables:                 ---------------"	"tomatoes:                 --x-------
plants:                            -----------"
All ghosts are students. Some ghosts are human beings.	Some human beings are not students.	neutral	incongruent	no	3	euler_12_AI3	AIO	ghosts ⊆ students	ghosts ∩ human beings ≠ ∅	"ghosts:                            ------
students:                   ---------------"	"ghosts:                   -----x----
human beings:                --x---------"
All students are horses. No humans are horses.	All humans are students.	neutral	incongruent	no	2	euler_8_AE2	AEA	students ⊆ horses	humans ∩ horses = ∅	"students:                          ------
horses:                     ---------------"	"humans:                 -------
horses:                               --------"
All dogs are animals. All robots are animals.	Some robots are dogs.	neutral	incongruent	no	2	euler_3_AA2	AAI	dogs ⊆ animals	robots ⊆ animals	"dogs:                              ------
animals:                    ---------------"	"robots:                            ------
animals:                    ---------------"
All ghosts are students. No human beings are ghosts.	Some human beings are students.	neutral	incongruent	no	1	euler_12_AE1	AEI	ghosts ⊆ students	human beings ∩ ghosts = ∅	"ghosts:                            ------
students:                   ---------------"	"human beings:           -------
ghosts:                               --------"
All athletes are baseball players. All human beings are athletes.	No human beings are baseball players.	neutral	incongruent	no	1	euler_10_AA1	AAE	athletes ⊆ baseball players	human beings ⊆ athletes	"athletes:                          ------
baseball players:           ---------------"	"human beings:                      ------
athletes:                   ---------------"
Some tomatoes are not plants. All plants are animals.	Some animals are tomatoes.	neutral	incongruent	no	4	euler_11_OA4	OAI	tomatoes \ plants ≠ ∅	plants ⊆ animals	"tomatoes:                 --x-------
plants:                            -----------"	"plants:                            ------
animals:                    ---------------"
